
2017-08-10 23:44:09,138 proc_top starting

2017-08-10 23:44:19,139
   pid name                  utime  stime  pct
   936 (python)                 37     13   5%
   931 (vidsrc:src)             26     13   4%
   908 (dataflash_logge)         9     29   4%
   921 (pixrc_udp)               0     37   4%
   919 (python)                 33      0   3%
    24 (ipu1_task)               0     11   1%
   924 (telem_up)                1      5   1%
   937 (python)                  6      0   1%
   926 (pixrc_ser)               2      3   1%

2017-08-10 23:47:09,139
   pid name                  utime  stime  pct
   923 (telem_down)             27    232  26%
   935 (python)                179     17  20%
    64 (kworker/0:2)             0    119  12%
   938 (python)                 79     40  12%
   936 (python)                 42     10   5%
   931 (vidsrc:src)             19     21   4%
   908 (dataflash_logge)        13     24   4%
   921 (pixrc_udp)               0     36   4%
   919 (python)                 32      2   3%
    24 (ipu1_task)               0     10   1%
   937 (python)                  7      0   1%
   926 (pixrc_ser)               1      5   1%
   924 (telem_up)                1      4   1%

2017-08-10 23:47:19,139
   pid name                  utime  stime  pct
   923 (telem_down)             29    243  27%
   935 (python)                175      9  18%
    64 (kworker/0:2)             0    126  13%
   938 (python)                 78     36  11%
   936 (python)                 47      4   5%
   931 (vidsrc:src)             23     20   4%
   908 (dataflash_logge)        14     25   4%
   921 (pixrc_udp)               0     38   4%
   919 (python)                 32      3   4%
    24 (ipu1_task)               0     10   1%
   910 (vidlaunch)               1      9   1%
   924 (telem_up)                2      4   1%
   937 (python)                  6      0   1%
   926 (pixrc_ser)               0      5   1%

2017-08-10 23:47:29,139
   pid name                  utime  stime  pct
   923 (telem_down)             33    225  26%
   935 (python)                175     14  19%
    64 (kworker/0:2)             0    121  12%
   938 (python)                 73     41  11%
   936 (python)                 43      9   5%
   931 (vidsrc:src)             20     20   4%
   908 (dataflash_logge)         7     30   4%
   921 (pixrc_udp)               0     36   4%
   919 (python)                 32      1   3%
    24 (ipu1_task)               0     10   1%
   937 (python)                  8      0   1%
   924 (telem_up)                1      5   1%
   926 (pixrc_ser)               1      4   1%

2017-08-10 23:47:39,139
   pid name                  utime  stime  pct
   923 (telem_down)             31    215  25%
   935 (python)                168     19  19%
   938 (python)                 85     29  11%
    13 (kworker/0:1)             0     61   6%
    64 (kworker/0:2)             0     55   6%
   936 (python)                 39     11   5%
   931 (vidsrc:src)             25     17   4%
   921 (pixrc_udp)               0     37   4%
   908 (dataflash_logge)        11     25   4%
   919 (python)                 33      1   3%
   910 (vidlaunch)               2     12   1%
    24 (ipu1_task)               0     10   1%
   924 (telem_up)                0      6   1%
   926 (pixrc_ser)               0      5   1%
   937 (python)                  5      0   1%

2017-08-10 23:47:49,139
   pid name                  utime  stime  pct
   923 (telem_down)             41    237  28%
   935 (python)                168     14  18%
    13 (kworker/0:1)             0    128  13%
   938 (python)                 84     27  11%
   936 (python)                 43     10   5%
   931 (vidsrc:src)             26     16   4%
   908 (dataflash_logge)        12     28   4%
   921 (pixrc_udp)               0     37   4%
   919 (python)                 30      4   3%
    24 (ipu1_task)               0     10   1%
   937 (python)                  6      1   1%
   926 (pixrc_ser)               0      6   1%
   924 (telem_up)                1      5   1%

2017-08-10 23:47:59,139
   pid name                  utime  stime  pct
   923 (telem_down)             34    245  28%
   935 (python)                190      8  20%
    13 (kworker/0:1)             0    130  13%
   938 (python)                 86     35  12%
   936 (python)                 45      7   5%
   931 (vidsrc:src)             27     15   4%
   908 (dataflash_logge)        13     28   4%
   921 (pixrc_udp)               0     37   4%
   919 (python)                 31      4   4%
    24 (ipu1_task)               0     10   1%
   910 (vidlaunch)               2      6   1%
   924 (telem_up)                0      6   1%
   937 (python)                  4      2   1%
   926 (pixrc_ser)               0      5   1%

2017-08-10 23:48:09,139
   pid name                  utime  stime  pct
   923 (telem_down)             29    245  27%
   935 (python)                176     17  19%
    13 (kworker/0:1)             0    129  13%
   938 (python)                 85     33  12%
   936 (python)                 47      5   5%
   931 (vidsrc:src)             25     17   4%
   908 (dataflash_logge)        14     26   4%
   921 (pixrc_udp)               0     39   4%
   919 (python)                 33      0   3%
    24 (ipu1_task)               0     11   1%
   910 (vidlaunch)               1      6   1%
   937 (python)                  5      2   1%
   926 (pixrc_ser)               3      3   1%
   924 (telem_up)                0      5   1%

2017-08-10 23:48:19,139
   pid name                  utime  stime  pct
   923 (telem_down)             46    235  28%
   935 (python)                192     13  21%
    13 (kworker/0:1)             0    130  13%
   938 (python)                 83     40  12%
   936 (python)                 40     12   5%
   908 (dataflash_logge)        12     29   4%
   931 (vidsrc:src)             29     12   4%
   921 (pixrc_udp)               0     37   4%
   919 (python)                 30      5   4%
    24 (ipu1_task)               0     10   1%
   937 (python)                  8      0   1%
   924 (telem_up)                3      3   1%
   926 (pixrc_ser)               0      5   1%

2017-08-10 23:48:29,139
   pid name                  utime  stime  pct
   923 (telem_down)             32    219  25%
   935 (python)                176     10  19%
    13 (kworker/0:1)             0    118  12%
   938 (python)                 95     19  11%
   936 (python)                 38     13   5%
   931 (vidsrc:src)             24     16   4%
   908 (dataflash_logge)        13     23   4%
   921 (pixrc_udp)               0     36   4%
   919 (python)                 33      0   3%
    24 (ipu1_task)               0     10   1%
   924 (telem_up)                1      5   1%
   926 (pixrc_ser)               0      5   1%
   937 (python)                  3      2   1%

2017-08-10 23:48:39,139
   pid name                  utime  stime  pct
   923 (telem_down)             36    230  27%
   935 (python)                188      7  20%
    13 (kworker/0:1)             0    124  12%
   938 (python)                 87     31  12%
   936 (python)                 45      6   5%
   931 (vidsrc:src)             25     16   4%
   908 (dataflash_logge)        12     26   4%
   921 (pixrc_udp)               0     37   4%
